"Id","Rodzaj zdarzenia","Województwo","Powiat","Gmina","Adres","Data","Godzina","Warunki oświetleniowe","Warunki pogodowe","Charakterystyka miejsca zdarzenia","Typ drogi","Ograniczenie prędkości","Typ nawierzchni","Stan nawierzchni","Geometria drogi","Sygnalizacja świetlna","Oznakowanie poziome","Rodzaj skrzyżowania","Teren zabudowany","Inne przyczyny zdarzenia"
97185624,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSKI","PRUSZCZ GDAŃSKI - OBSZAR MIEJS","PRUSZCZ GDAŃSKI MICKIEWICZA / CHEŁMOŃSKIEGO","2012-08-02","20","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Nie ma","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97186141,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT PUCKI","PUCK - OBSZAR WIEJSKI","PUCK","2012-09-13","15","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","90 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97186174,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT PUCKI","WŁADYSŁAWOWO - OBSZAR MIEJSKI","WŁADYSŁAWOWO ŻEROMSKIEGO","2012-09-13","17","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97186331,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT SŁUPSK","SŁUPSK - OBSZAR MIEJSKI","SŁUPSK ARCISZEWSKIEGO 22A","2012-09-06","10","Światło dzienne","Dobre warunki atmosferyczne","Droga dla rowerzystów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97188862,"Zderzenie pojazdów czołowe","POMORSKIE","POWIAT CZŁUCHOWSKI","RZECZENICA - OBSZAR WIEJSKI","RZECZENICA WYBUDOWANIE 27","2012-08-26","14","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","90 km/h","Twarda","Sucha","Zakręt, łuk","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97189249,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK GRUNWALDZKA","2012-09-13","07","Światło dzienne","Pochmurno","Jezdnia","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97190507,"Zderzenie pojazdów czołowe","POMORSKIE","POWIAT MALBORSKI","MALBORK - OBSZAR MIEJSKI","MALBORK SIENKIEWICZA 48","2012-09-11","16","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97192776,"Najechanie na pieszego","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK PIASTOWSKA 63","2012-09-11","18","Światło dzienne","Dobre warunki atmosferyczne","Przejście dla pieszych","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97198054,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT TCZEWSKI","TCZEW - OBSZAR MIEJSKI","TCZEW ALEJA SOLIDARNOŚCI / ALEJA KOCIEWSKA","2012-09-10","08","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97199572,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT KARTUSKI","SIERAKOWICE - OBSZAR WIEJSKI","SIERAKOWICE KARTUSKA 8","2012-09-05","12","Światło dzienne","Dobre warunki atmosferyczne","Wjazd, wyjazd z posesji, pola","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97199883,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT CZŁUCHOWSKI","CZŁUCHÓW - OBSZAR MIEJSKI","CZŁUCHÓW KASZTANOWA / WOJSKA POLSKIEGO","2012-09-14","17","Światło dzienne","Dobre warunki atmosferyczne","Przejście dla pieszych","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97200275,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDYNIA","GDYNIA - OBSZAR MIEJSKI","GDYNIA MORSKA 76","2012-09-18","06","Światło dzienne","Dobre warunki atmosferyczne","Droga dla rowerzystów","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97208622,"Wywrócenie się pojazdu","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK HUCISKO / WAŁY JAGIELLOŃSKIE","2012-09-18","19","Zmrok, świt","Dobre warunki atmosferyczne","Droga dla rowerzystów","Jednokierunkowa","50 km/h","Twarda","Sucha","Brak","Jest, działa","Jest","Z drogą z pierwsz.","Obszar zabudowany","Nieustalone"
97216564,"Zderzenie pojazdów tylne","POMORSKIE","POWIAT KARTUSKI","PRZODKOWO - OBSZAR WIEJSKI","KCZEWO","2012-09-13","15","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","40 km/h","Twarda","Sucha","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97216671,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT LĘBORSKI","LĘBORK - OBSZAR MIEJSKI","LĘBORK KRZYWOUSTEGO / RONDO JANA PAWŁA II","2012-09-21","07","Światło dzienne","Dobre warunki atmosferyczne","Droga dla rowerzystów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","O ruchu okrężnym","Obszar zabudowany","Brak"
97217221,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT SOPOT","SOPOT - OBSZAR MIEJSKI","SOPOT ALEJA NIEPODLEGŁOŚCI 899","2012-09-23","15","Światło dzienne","Opady deszczu","Droga dla rowerzystów","Dwie jezdnie jednokierunkowe","50 km/h","Twarda","Mokra","Odcinek prosty","Brak","Jest","Brak","Obszar zabudowany","Brak"
97217284,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK JAŚKOWA DOLINA 69","2012-06-15","13","Światło dzienne","Dobre warunki atmosferyczne","Droga dla rowerzystów","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97217355,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT WEJHEROWSKI","RUMIA - OBSZAR MIEJSKI","RUMIA TOWAROWA","2012-09-20","18","Światło dzienne","Dobre warunki atmosferyczne","Przejście dla pieszych","Jednokierunkowa","50 km/h","Twarda","Sucha","Zakręt, łuk","Brak","Jest","Brak","Obszar zabudowany","Brak"
97221157,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT LĘBORSKI","ŁEBA - OBSZAR MIEJSKI","RĄBKA 0","2012-07-01","15","Światło dzienne","Dobre warunki atmosferyczne","Wjazd, wyjazd z posesji, pola","Jednojezdniowa dwukierunkowa","20 km/h","Twarda","Sucha","Odcinek prosty","Brak","Nie ma","Brak","Obszar zabudowany","Brak"
97221251,"Zderzenie pojazdów boczne","POMORSKIE","POWIAT GDAŃSK","GDAŃSK - OBSZAR MIEJSKI","GDAŃSK NARWICKA / MARYNARKI POLSKIEJ","2012-09-20","07","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
97222367,"Zderzenie pojazdów tylne","POMORSKIE","POWIAT CZŁUCHOWSKI","CZŁUCHÓW - OBSZAR MIEJSKI","CZŁUCHÓW KAMIENNA / SZCZECIŃSKA","2012-09-21","11","Światło dzienne","Dobre warunki atmosferyczne","Jezdnia","Jednojezdniowa dwukierunkowa","50 km/h","Twarda","Sucha","Brak","Brak","Jest","Z drogą z pierwsz.","Obszar zabudowany","Brak"
