"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
94435856,1,"Samochód osobowy",NA,NA,NA
94435856,2,"Rower",NA,NA,NA
94438357,1,"Samochód osobowy",NA,NA,NA
94438357,2,"Rower",NA,NA,NA
94438574,1,"Rower",NA,NA,NA
94438574,2,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94438792,1,"Rower",NA,NA,NA
94438792,2,"Samochód osobowy",NA,NA,NA
94439339,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94439339,2,"Rower",NA,NA,NA
94439951,1,"Samochód osobowy",NA,NA,NA
94439951,2,"Rower",NA,NA,NA
94440666,1,"Samochód osobowy",NA,NA,NA
94440666,2,"Rower",NA,NA,NA
94440741,1,"Rower",NA,NA,NA
94440741,2,"Rower",NA,NA,NA
94440741,3,"Rower",NA,NA,NA
94440776,1,"Rower",NA,NA,NA
94440776,2,"Samochód osobowy",NA,NA,NA
94442481,1,"Rower",NA,NA,NA
94442481,2,"Autobus komunikacji publicznej",NA,NA,NA
94442614,1,"Rower",NA,NA,NA
94443689,1,"Samochód osobowy",NA,NA,NA
94443689,2,"Rower",NA,NA,NA
94445092,1,"Samochód osobowy",NA,NA,NA
94445092,2,"Rower",NA,NA,NA
94447145,1,"Samochód osobowy",NA,NA,NA
94447145,2,"Rower",NA,NA,NA
94447184,1,"Rower",NA,NA,NA
94447184,2,"Samochód osobowy",NA,NA,NA
94447712,1,"Samochód osobowy",NA,NA,NA
94447712,2,"Rower",NA,NA,NA
94447761,1,"Samochód osobowy",NA,NA,NA
94447761,2,"Rower",NA,NA,NA
94447761,3,"Rower",NA,NA,NA
94447908,1,"Rower",NA,NA,NA
94447908,2,"Tramwaj, trolejbus",NA,NA,NA
94448142,1,"Rower",NA,NA,NA
94448142,2,"Samochód osobowy",NA,NA,NA
94448184,1,"Samochód osobowy",NA,NA,NA
94448184,2,"Rower",NA,NA,NA
94448191,1,"Rower",NA,NA,NA
94448191,2,"Samochód osobowy",NA,NA,NA
94448880,1,"Samochód osobowy",NA,NA,NA
94448880,2,"Rower",NA,NA,NA
94449789,1,"Rower",NA,NA,NA
94449789,2,"Samochód osobowy",NA,NA,NA
94449896,1,"Rower",NA,NA,NA
94449896,2,"Samochód osobowy",NA,NA,NA
94450249,1,"Rower",NA,NA,NA
94450249,2,"Samochód osobowy",NA,NA,NA
94451099,1,"Rower",NA,NA,NA
94451331,1,"Samochód osobowy",NA,NA,NA
94451331,2,"Rower",NA,NA,NA
94451845,1,"Rower",NA,NA,NA
94451845,2,"Samochód osobowy",NA,NA,NA
94453235,1,"Samochód osobowy",NA,NA,NA
94453235,2,"Rower",NA,NA,NA
